ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
487,15311.1921311189,90.0498420472,2,1.6439184618,85.6273145089,15,3.1921311189,5.8420472,0.0439762719,97.3912215751,1,2817.4811794312,0.2811794312,5.3811794312,258.1491081441,0
613,19798.4124124124,92.4124124124,4,3.9824124124,78.9824124124,20,4.4124124124,6.4124124124,0.059246599,95.9111111111,9,4121.1111111111,0.2921111111,7.1111111111,421.1111111111,1
219,16921.8528528529,95.8528528529,1,2.1528528529,91.8528528529,12,2.8528528529,7.8528528529,0.0528528529,98.8528528529,2,2388.8528528529,0.2438528529,3.8528528529,381.8528528529,0
943,15123.1754921975,88.9176058534,3,4.3535195967,82.1869238176,19,3.1769603918,3.9217826927,0.077624138,96.5174618468,4,3456.1794311631,0.3110093334,8.5501222213,401.1953223167,1
657,18467.1041913834,94.5536616196,2,1.9344714611,87.9263755567,14,1.480444293,8.6565544215,0.054596638,98.648170546,7,3142.9992734586,0.2556373344,9.9824251136,324.4892152306,0
781,15851.7532201752,96.0134113553,1,2.8317284474,90.7149617172,16,2.4563415639,5.123529512,0.051228344,99.2958664448,6,2928.3255241721,0.2421846236,2.9257862311,281.3471345774,0
413,18251.7532201752,91.5536616196,3,3.9344714611,80.9263755567,17,3.559812219,4.6212311035,0.065335555,95.1862146475,5,4361.349345648,0.2920087234,6.3544547414,216.1447259827,1
959,16851.7532201752,93.5536616196,2,2.9344714611,89.9263755567,13,1.480444293,6.6565544215,0.054596638,98.648170546,8,3028.3255241721,0.2421846236,3.9257862311,311.3471345774,0
649,17321.8528528529,97.5536616196,1,1.9344714611,92.9263755567,10,2.8528528529,3.9217826927,0.0439762719,99.2958664448,2,2628.3255241721,0.2438528529,2.9257862311,381.8528528529,0
817,16123.1754921975,89.9176058534,4,3.3535195967,81.1869238176,18,3.1769603918,8.123529512,0.051228344,96.5174618468,9,3928.3255241721,0.2421846236,7.9257862311,401.1953223167,1
193,14312.6786730348,85.6446446514,1,2.469369454,73.7647637557,14,2.321876432,8.9977534762,0.069893111,94.1378198532,4,2765.123456789,0.2564564564,5.6789012345,269.987654321,0
419,15323.456789012,92.1456789012,3,1.6543210987,85.6789012345,19,2.8765432156,5.6789012345,0.0567890123,97.6543210987,7,3512.3456789,0.2456789012,8.9012345678,325.678901234,1
751,16245.678901234,88.7654321098,2,2.987654321,82.1456789012,16,3.4567890123,9.8765432156,0.0543210987,95.6789012345,6,3821.2345678,0.2456789012,9.8765432156,391.2345678,1
229,14567.890123456,91.2345678901,4,3.4567890123,84.5678901234,12,1.2345678901,7.6543210987,0.0654321098,93.987654321,8,2934.5678901,0.2564564564,6.5432156354,299.876543215,0
983,16345.678901234,96.5432156354,1,1.2345678901,91.2345678901,20,3.987654321,6.5432156354,0.0543210987,98.7654321098,3,3578.9012345,0.2456789012,10.876543215,419.890123456,0
617,15821.23456789,94.5678901234,2,2.987654321,88.7654321098,15,2.8765432156,8.7654321098,0.0567890123,96.5432156354,5,3217.890123456,0.2456789012,8.9012345678,351.23456789,1
419,14923.456789012,89.2345678901,3,2.4567890123,83.7654321098,18,2.8765432156,7.6543210987,0.0654321098,94.1378198532,9,2965.123456789,0.2564564564,7.6543210987,311.3471345774,1
751,15789.012345678,90.12345678901,1,1.2345678901,86.5432156354,14,2.8765432156,9.8765432156,0.0543210987,97.6543210987,7,3221.23456789,0.2456789012,9.8765432156,341.23456789,0
983,16923.456789012,95.6789012345,4,2.987654321,90.12345678901,16,2.8765432156,6.5432156354,0.0567890123,98.7654321098,4,3432.3456789,0.2456789012,10.876543215,399.890123456,1
229,15123.456789012,87.6543210987,2,2.4567890123,84.5678901234,12,1.2345678901,8.7654321098,0.0654321098,93.987654321,8,2921.23456789,0.2564564564,6.5432156354,299.876543215,0
617,16123.1754921975,93.987654321,3,2.987654321,87.6543210987,19,2.8765432156,7.6543210987,0.0567890123,96.5432156354,6,3378.9012345,0.2456789012,9.8765432156,381.8528528529,1
751,16345.678901234,92.1456789012,1,1.2345678901,89.2345678901,15,2.8765432156,9.8765432156,0.0543210987,97.6543210987,5,3245.123456789,0.2456789012,10.876543215,401.1953223167,0
193,18517.23456789,92.3456789012,4,2.5678901234,88.7654321098,20,3.4567890123,5.6789012345,0.0678901234,95.6789012345,3,3912.3456789,0.2564564564,7.6543210987,283.987654321,0
817,19123.456789012,94.5678901234,2,2.123456789012,92.3456789012,18,2.8765432156,8.7654321098,0.0567890123,99.2345678901,2,3734.5678901,0.2456789012,9.8765432156,375.6576576576,1
431,16789.012345678,90.123456789,5,2.8901234567,85.6789012345,17,2.4567890123,7.6543210987,0.0567890123,94.5678901234,1,3621.23456789,0.2564564564,8.7654321098,309.876543215,1
958,19745.678901234,96.5432156354,1,2.4567890123,95.6789012345,22,3.4567890123,9.8765432156,0.0543210987,98.7654321098,9,4128.9012345,0.2456789012,11.2345678901,421.1953223167,1
191,16123.456789012,88.7654321098,3,2.5678901234,83.987654321,14,2.4567890123,6.5432156354,0.0567890123,92.3456789012,7,3117.23456789,0.2564564564,6.5432156354,301.1953223167,0
669,15945.678901234,91.2345678901,2,2.8901234567,89.2345678901,21,3.4567890123,8.7654321098,0.0567890123,96.5432156354,6,3691.23456789,0.2456789012,9.8765432156,379.890123456,1
281,15345.678901234,86.5432156354,4,2.4567890123,84.5678901234,16,2.4567890123,7.6543210987,0.0567890123,93.987654321,5,3061.23456789,0.2564564564,7.6543210987,295.6576576576,0
819,19123.456789012,94.5678901234,1,2.123456789012,92.3456789012,20,3.4567890123,9.8765432156,0.0567890123,99.2345678901,1,3734.5678901,0.2456789012,9.8765432156,375.6576576576,1
517,16345.678901234,92.1456789012,3,2.5678901234,90.123456789,19,2.4567890123,8.7654321098,0.0567890123,96.5432156354,3,3581.23456789,0.2564564564,8.7654321098,391.8528528529,1
351,16789.012345678,90.123456789,2,2.8901234567,88.7654321098,18,2.4567890123,7.6543210987,0.0567890123,94.5678901234,2,3471.23456789,0.2456789012,8.7654321098,331.1953223167,1
713,17123.456789012,93.987654321,5,2.4567890123,91.2345678901,22,3.4567890123,9.8765432156,0.0567890123,97.6543210987,7,4028.9012345,0.2456789012,10.876543215,421.1953223167,1
281,15123.456789012,87.6543210987,1,2.5678901234,84.5678901234,15,2.4567890123,7.6543210987,0.0567890123,93.987654321,4,3121.23456789,0.2564564564,7.6543210987,301.1953223167,0
982,14567.890123456,89.0123456789,4,2.5678901234,92.1456789012,20,1.2345678901,6.5432156354,0.0567890123,95.6789012345,5,3721.23456789,0.2456789012,9.8765432156,361.1953223167,1
467,18345.678901234,91.2345678901,2,2.8901234567,89.0123456789,19,2.4567890123,8.7654321098,0.0567890123,96.5432156354,6,3621.23456789,0.2564564564,8.7654321098,391.8528528529,1
193,15789.012345678,88.7654321098,1,2.5678901234,86.5432156354,18,2.4567890123,7.6543210987,0.0567890123,94.5678901234,3,3321.23456789,0.2456789012,7.6543210987,301.1953223167,0
923,16923.456789012,95.6789012345,5,2.4567890123,94.5678901234,22,3.4567890123,9.8765432156,0.0567890123,98.7654321098,8,4128.9012345,0.2456789012,10.876543215,421.1953223167,1
671,16123.456789012,92.1456789012,3,2.5678901234,90.123456789,20,2.4567890123,8.7654321098,0.0567890123,96.5432156354,6,3821.23456789,0.2564564564,9.8765432156,361.1953223167,1
823,17567.890123456,94.5678901234,4,2.8901234567,93.987654321,23,3.4567890123,9.8765432156,0.0567890123,98.7654321098,9,4428.9012345,0.2456789012,11.876543215,451.1953223167,1
467,14923.456789012,89.0123456789,2,2.5678901234,88.7654321098,19,2.4567890123,7.6543210987,0.0567890123,96.5432156354,5,3521.23456789,0.2564564564,8.7654321098,331.1953223167,1
193,17345.678901234,91.2345678901,1,2.4567890123,90.123456789,18,2.4567890123,8.7654321098,0.0567890123,95.6789012345,4,3421.23456789,0.2456789012,7.6543210987,301.1953223167,0
923,17789.012345678,95.6789012345,5,2.8901234567,94.5678901234,22,3.4567890123,9.8765432156,0.0567890123,98.7654321098,10,4628.9012345,0.2456789012,11.876543215,451.1953223167,1
671,15923.456789012,92.1456789012,3,2.5678901234,90.123456789,20,2.4567890123,8.7654321098,0.0567890123,96.5432156354,7,3921.23456789,0.2564564564,9.8765432156,361.1953223167,1
823,16567.890123456,94.5678901234,4,2.8901234567,93.987654321,23,3.4567890123,9.8765432156,0.0567890123,98.7654321098,11,4828.9012345,0.2456789012,12.876543215,461.1953223167,1
467,15123.456789012,89.0123456789,2,2.5678901234,88.7654321098,19,2.4567890123,7.6543210987,0.0567890123,96.5432156354,6,3621.23456789,0.2564564564,8.7654321098,331.1953223167,1
101,5800.0,82.3456789012,1,0.5,62.123456789,4,0.2,2.3456789012,0.01,82.3456789012,0,1050.0,0.1,1.23456789,120.0,1
420,19500.0,98.7654321098,5,4.5678901234,97.6543210987,18,3.4567890123,8.7654321098,0.0567890123,99.8765432156,9,4728.9012345,0.3456789012,10.987654321,450.0,0
789,18200.0,95.6789012345,4,2.8901234567,95.123456789,22,2.4567890123,9.8765432156,0.0567890123,98.7654321098,8,4428.9012345,0.2564564564,9.8765432156,380.0,1
350,14500.0,92.1456789012,2,2.5678901234,92.3456789012,16,1.23456789,7.6543210987,0.01,96.5432156354,5,3721.23456789,0.3456789012,8.7654321098,310.0,0
890,16800.0,96.5432156354,5,2.8901234567,96.8765432156,24,3.4567890123,9.8765432156,0.0567890123,99.8765432156,10,4928.9012345,0.2564564564,11.876543215,420.0,1
120,5500.0,83.4567890123,1,0.5,63.4567890123,5,0.2,2.4567890123,0.01,83.4567890123,0,1100.0,0.1,1.23456789,130.0,0
560,18500.0,97.6543210987,5,4.5678901234,98.7654321098,19,3.4567890123,8.7654321098,0.0567890123,99.8765432156,10,4828.9012345,0.3456789012,10.987654321,460.0,1
740,17800.0,96.5432156354,4,2.8901234567,96.8765432156,23,2.4567890123,9.8765432156,0.0567890123,99.8765432156,9,4528.9012345,0.2564564564,9.8765432156,390.0,1
490,15200.0,90.123456789,3,2.5678901234,91.2345678901,17,2.4567890123,8.7654321098,0.01,97.6543210987,6,3721.23456789,0.3456789012,8.7654321098,330.0,0
820,16900.0,97.6543210987,5,4.5678901234,98.7654321098,22,3.4567890123,9.8765432156,0.0567890123,99.8765432156,11,4928.9012345,0.3456789012,10.987654321,470.0,1
230,5900.0,84.5678901234,2,0.5,64.5678901234,7,0.2,3.4567890123,0.01,84.5678901234,0,1200.0,0.1,1.23456789,140.0,0
580,18000.0,98.7654321098,5,4.5678901234,99.8765432156,20,3.4567890123,9.8765432156,0.0567890123,99.8765432156,10,4828.9012345,0.3456789012,10.987654321,490.0,1
670,16100.0,95.6789012345,4,2.8901234567,95.123456789,21,2.4567890123,9.8765432156,0.0567890123,98.7654321098,8,4428.9012345,0.2564564564,9.8765432156,400.0,1
173,14800.0,85.2345678901,2,1.2345678901,92.3456789012,16,0.5678901234,4.5678901234,0.02,95.123456789,1,3021.23456789,0.123456789,7.6543210987,290.0,0
910,16300.0,99.8765432156,4,3.4567890123,99.8765432156,18,1.2345678901,8.7654321098,0.0456789012,99.8765432156,9,4750.0,0.3456789012,9.8765432156,450.0,1
260,6000.0,81.2345678901,1,0.8,72.3456789012,8,0.1,2.5678901234,0.02,85.123456789,0,1300.0,0.0567890123,1.23456789,150.0,0
750,17500.0,96.5432156789,5,4.5678901234,98.7654321098,22,3.4567890123,10.987654321,0.0567890123,99.8765432156,12,5200.0,0.3456789012,10.987654321,480.0,1
410,15500.0,93.4567890123,3,2.8901234567,96.2345678901,19,2.4567890123,8.7654321098,0.0456789012,98.7654321098,7,4300.0,0.2564564564,9.8765432156,410.0,1
850,16500.0,98.7654321098,5,4.5678901234,99.8765432156,21,3.4567890123,10.987654321,0.0567890123,99.8765432156,11,5300.0,0.3456789012,10.987654321,490.0,1
290,5800.0,87.6543210987,2,1.2345678901,82.3456789012,9,0.2,3.4567890123,0.02,88.7654321098,1,1400.0,0.1,2.5678901234,180.0,0
720,17000.0,96.2345678901,4,3.4567890123,98.7654321098,20,2.4567890123,9.8765432156,0.0456789012,99.8765432156,10,4900.0,0.3456789012,10.987654321,460.0,1
350,14500.0,90.123456789,3,2.5678901234,92.3456789012,15,1.2345678901,5.6789012345,0.02,95.123456789,3,3200.0,0.123456789,6.7890123456,280.0,0
920,15800.0,97.6543210987,5,4.5678901234,99.8765432156,19,2.4567890123,9.8765432156,0.0456789012,99.8765432156,10,5100.0,0.3456789012,10.987654321,480.0,1
380,5500.0,86.2345678901,2,1.2345678901,78.9012345678,10,0.1,2.5678901234,0.02,86.2345678901,0,1500.0,0.0567890123,2.5678901234,160.0,0
680,16200.0,95.123456789,4,3.4567890123,96.2345678901,20,2.4567890123,9.8765432156,0.0456789012,98.7654321098,8,4600.0,0.2564564564,10.987654321,420.0,1
490,14700.0,89.0123456789,3,2.5678901234,91.2345678901,16,1.2345678901,5.6789012345,0.02,95.123456789,4,3200.0,0.123456789,7.6543210987,290.0,0
973,14600.0,91.2345678901,1,4.5678901234,99.8765432156,22,2.4567890123,7.6543210987,0.0456789012,98.7654321098,9,4800.0,0.3456789012,8.9012345678,400.0,1
240,18000.0,85.123456789,0,2.5678901234,92.3456789012,12,1.2345678901,3.4567890123,0.02,90.123456789,2,2200.0,0.2564564564,5.6789012345,200.0,0
910,14000.0,98.7654321098,5,3.4567890123,95.123456789,18,2.4567890123,8.9012345678,0.0456789012,99.8765432156,7,5200.0,0.3456789012,9.8765432156,450.0,1
670,16000.0,94.5678901234,3,2.5678901234,97.6543210987,21,1.2345678901,6.7890123456,0.02,97.6543210987,6,4800.0,0.2564564564,9.8765432156,410.0,0
580,15500.0,93.4567890123,2,4.5678901234,98.7654321098,17,2.4567890123,8.9012345678,0.0456789012,98.7654321098,8,5000.0,0.3456789012,10.987654321,420.0,1
420,14500.0,92.3456789012,4,3.4567890123,96.2345678901,14,1.2345678901,5.6789012345,0.02,95.123456789,3,3200.0,0.123456789,7.6543210987,280.0,0
840,17000.0,96.2345678901,5,2.5678901234,99.8765432156,23,2.4567890123,9.8765432156,0.0456789012,99.8765432156,9,5400.0,0.3456789012,10.987654321,460.0,1
730,16500.0,95.123456789,3,4.5678901234,98.7654321098,20,1.2345678901,7.6543210987,0.02,98.7654321098,7,5200.0,0.2564564564,9.8765432156,440.0,0
290,15000.0,90.123456789,2,3.4567890123,95.123456789,13,1.2345678901,4.5678901234,0.02,92.3456789012,2,2600.0,0.3456789012,6.7890123456,240.0,1
820,14800.0,97.6543210987,5,2.5678901234,98.7654321098,22,2.4567890123,8.9012345678,0.0456789012,98.7654321098,8,5200.0,0.3456789012,9.8765432156,430.0,1
480,15800.0,94.5678901234,4,4.5678901234,99.8765432156,15,1.2345678901,6.7890123456,0.02,97.6543210987,5,4400.0,0.2564564564,8.9012345678,380.0,1
940,16000.0,96.2345678901,5,3.4567890123,98.7654321098,24,2.4567890123,9.8765432156,0.0456789012,99.8765432156,10,5800.0,0.3456789012,10.987654321,480.0,1
590,15200.0,95.123456789,3,2.5678901234,97.6543210987,16,1.2345678901,7.6543210987,0.02,98.7654321098,6,4600.0,0.2564564564,9.8765432156,420.0,0
181,18200.0,86.7538461538,1,1.2345678901,90.123456789,12,0.987654321,3.4567890123,0.06,85.123456789,3,2700.0,0.3456789012,7.6543210987,250.0,0
750,17500.0,91.2345678901,4,3.4567890123,95.123456789,20,2.4567890123,7.6543210987,0.04,92.3456789012,7,5400.0,0.2564564564,9.8765432156,400.0,1
410,16800.0,93.4567890123,3,2.5678901234,96.2345678901,14,1.2345678901,5.123456789,0.02,94.5678901234,4,4000.0,0.3456789012,8.9012345678,350.0,0
920,18000.0,98.7654321098,5,4.5678901234,99.8765432156,23,2.4567890123,9.8765432156,0.0456789012,99.8765432156,9,6200.0,0.2564564564,11.2345678901,490.0,1
640,15400.0,92.3456789012,2,1.2345678901,94.5678901234,17,1.2345678901,6.7890123456,0.02,95.123456789,5,4800.0,0.3456789012,8.9012345678,410.0,0
820,17200.0,95.123456789,4,3.4567890123,97.6543210987,21,2.4567890123,8.9012345678,0.04,98.7654321098,8,5800.0,0.2564564564,10.987654321,440.0,1
480,15800.0,96.2345678901,3,2.5678901234,98.7654321098,15,1.2345678901,6.7890123456,0.02,97.6543210987,6,4600.0,0.3456789012,9.8765432156,380.0,0
940,18500.0,97.6543210987,5,4.5678901234,99.8765432156,24,2.4567890123,9.8765432156,0.0456789012,99.8765432156,10,6400.0,0.2564564564,12.3456789012,500.0,1
190,16000.0,89.0123456789,1,1.2345678901,92.3456789012,11,0.987654321,4.5678901234,0.06,90.123456789,2,2800.0,0.3456789012,7.6543210987,230.0,0
670,17000.0,93.4567890123,4,3.4567890123,96.2345678901,19,2.4567890123,7.6543210987,0.04,94.5678901234,6,5000.0,0.2564564564,9.8765432156,390.0,1
350,15500.0,91.2345678901,3,2.5678901234,95.123456789,13,1.2345678901,5.123456789,0.02,93.4567890123,4,3800.0,0.3456789012,8.9012345678,330.0,0
930,17800.0,98.7654321098,5,4.5678901234,99.8765432156,22,2.4567890123,9.8765432156,0.0456789012,99.8765432156,9,6300.0,0.2564564564,11.2345678901,490.0,1
490,16200.0,94.5678901234,4,3.4567890123,98.7654321098,16,1.2345678901,6.7890123456,0.02,97.6543210987,6,5000.0,0.3456789012,9.8765432156,420.0,0
810,18100.0,96.7890123456,2,2.123456789,94.5678901234,18,1.2345678901,6.8901234567,0.01,96.2345678901,5,5200.0,0.3456789012,8.9012345678,440.0,0
940,18500.0,99.8765432156,5,3.8901234567,99.123456789,20,2.4567890123,8.7654321098,0.045,99.8765432156,8,6200.0,0.2564564564,10.123456789,480.0,1
110,15200.0,90.123456789,1,1.2345678901,93.4567890123,10,0.987654321,4.5678901234,0.05,92.3456789012,3,3000.0,0.3456789012,6.7890123456,260.0,0
780,16800.0,95.123456789,3,2.4567890123,97.6543210987,17,1.2345678901,7.6543210987,0.03,97.123456789,7,5800.0,0.3456789012,9.8765432156,460.0,0
670,17300.0,97.6543210987,4,3.8901234567,98.7654321098,19,2.4567890123,8.7654321098,0.04,98.7654321098,6,5900.0,0.2564564564,10.4567890123,490.0,1
580,15800.0,94.5678901234,2,2.4567890123,96.2345678901,15,1.2345678901,6.8901234567,0.02,96.2345678901,5,5100.0,0.3456789012,8.9012345678,430.0,0
920,18000.0,98.7654321098,5,4.5678901234,99.8765432156,21,2.4567890123,9.8765432156,0.045,99.8765432156,9,6500.0,0.2564564564,11.2345678901,490.0,1
490,16100.0,95.123456789,3,2.8901234567,97.6543210987,16,1.2345678901,7.6543210987,0.03,97.6543210987,6,5500.0,0.3456789012,9.8765432156,440.0,0
810,16900.0,96.7890123456,2,2.4567890123,94.5678901234,18,1.2345678901,6.8901234567,0.01,96.2345678901,5,5200.0,0.3456789012,8.9012345678,460.0,0
700,16400.0,95.123456789,3,3.4567890123,97.6543210987,17,1.2345678901,7.6543210987,0.03,97.6543210987,7,5600.0,0.3456789012,9.8765432156,470.0,0
940,18400.0,99.8765432156,5,4.5678901234,99.8765432156,20,2.4567890123,8.7654321098,0.045,99.8765432156,8,6600.0,0.2564564564,10.4567890123,500.0,1
110,15100.0,90.123456789,1,1.2345678901,93.4567890123,10,0.987654321,4.5678901234,0.05,92.3456789012,3,3000.0,0.3456789012,6.7890123456,250.0,0
780,16700.0,95.123456789,3,2.4567890123,97.6543210987,17,1.2345678901,7.6543210987,0.03,97.6543210987,7,5800.0,0.3456789012,9.8765432156,460.0,0
823,17737.5,98.2345678901,1,2.8901234567,95.123456789,19,2.4567890123,8.7654321098,0.04,98.2345678901,6,5900.0,0.3456789012,9.0123456789,490.0,0
670,17000.0,94.5678901234,2,3.4567890123,96.7890123456,18,1.2345678901,6.8901234567,0.02,96.2345678901,4,5400.0,0.2564564564,8.9012345678,420.0,0
950,18200.0,98.7654321098,4,4.5678901234,98.7654321098,21,3.4567890123,9.8765432156,0.06,98.7654321098,9,6800.0,0.3456789012,11.2345678901,510.0,1
120,14800.0,92.3456789012,0,1.2345678901,94.5678901234,11,0.987654321,5.6789012345,0.04,94.5678901234,2,3100.0,0.3456789012,7.6543210987,240.0,0
790,16800.0,96.7890123456,2,2.4567890123,97.6543210987,19,1.2345678901,7.6543210987,0.03,97.6543210987,6,6000.0,0.3456789012,9.0123456789,490.0,0
630,16100.0,95.123456789,3,3.4567890123,96.7890123456,17,1.2345678901,6.8901234567,0.02,96.2345678901,5,5200.0,0.2564564564,8.9012345678,440.0,0
990,18500.0,99.8765432156,5,5.0,99.8765432156,22,4.5678901234,10.0,0.08,99.8765432156,10,7000.0,0.3456789012,12.3456789012,520.0,1
850,17300.0,97.6543210987,3,3.4567890123,98.7654321098,20,2.4567890123,8.7654321098,0.05,98.7654321098,8,6700.0,0.3456789012,10.4567890123,510.0,0
760,17100.0,97.6543210987,2,2.4567890123,98.7654321098,19,1.2345678901,8.7654321098,0.04,98.7654321098,7,6400.0,0.2564564564,9.8765432156,490.0,0
920,17900.0,98.7654321098,4,4.5678901234,99.8765432156,21,3.4567890123,9.8765432156,0.06,99.8765432156,9,6900.0,0.3456789012,11.2345678901,520.0,1
840,17200.0,98.7654321098,3,3.4567890123,99.8765432156,20,2.4567890123,9.8765432156,0.05,99.8765432156,8,6800.0,0.2564564564,10.4567890123,510.0,0
196,18212.5,81.9819819819,1,1.0212102121,63.6363636364,14,2.4747474747,9.0909090909,0.09,96.9696969697,2,3100.0,0.37037037037,5.2525252525,450.0,0
740,15950.0,95.9595959596,0,2.8282828283,95.9595959596,18,1.4141414141,7.07107107107,0.04,97.9797979798,5,4900.0,0.45454545455,8.1818181818,490.0,0
980,19675.0,92.9292929293,4,4.2424242424,92.9292929293,23,3.0303030303,8.4852812376,0.07,98.9898989899,6,5400.0,0.30303030303,9.0909090909,470.0,1
960,19125.0,98.9898989899,5,5.0505050505,98.9898989899,22,4.2424242424,10.101010101,0.08,99.9999999999,9,5800.0,0.21212121212,10.7575757576,490.0,1
940,18950.0,96.9696969697,3,3.6363636364,96.9696969697,21,2.8282828283,9.0909090909,0.06,99.9999999999,8,5500.0,0.27272727273,9.5454545455,460.0,0
820,18000.0,98.9898989899,2,2.7272727273,98.9898989899,20,2.1212121212,8.4852812376,0.05,99.9999999999,7,5200.0,0.30303030303,8.1818181818,450.0,0
600,15500.0,94.9494949495,1,2.1212121212,94.9494949495,17,1.4141414141,6.36363636364,0.03,97.9797979798,4,4800.0,0.21212121212,7.2727272727,420.0,0
920,18450.0,99.9999999999,4,4.2424242424,99.9999999999,22,3.0303030303,9.0909090909,0.07,99.9999999999,9,5200.0,0.45454545455,9.5454545455,480.0,1
700,15800.0,97.9797979798,0,2.7272727273,97.9797979798,19,1.4141414141,7.07107107107,0.04,98.9898989899,6,4900.0,0.30303030303,8.1818181818,440.0,0
860,17750.0,98.9898989899,3,3.6363636364,98.9898989899,21,2.8282828283,9.0909090909,0.06,99.9999999999,8,5400.0,0.45454545455,9.0909090909,460.0,1
780,16500.0,95.9595959596,2,2.1212121212,95.9595959596,20,1.4141414141,8.4852812376,0.05,98.9898989899,7,5000.0,0.27272727273,8.4852812376,450.0,0
940,18950.0,96.9696969697,3,3.6363636364,96.9696969697,22,2.8282828283,9.0909090909,0.06,99.9999999999,8,5300.0,0.21212121212,9.5454545455,460.0,1
980,19675.0,98.9898989899,4,4.2424242424,98.9898989899,23,3.0303030303,10.101010101,0.08,99.9999999999,9,5800.0,0.45454545455,10.7575757576,490.0,1
413,15121.5,89.0927272727,1,1.6363636364,89.0927272727,17,0.7071067812,3.1622776602,0.01,95.9595959596,5,4100.0,0.1212121212,5.6568542495,310.0,0
